file_index,file_name,row_no,annotation_id,parameter_name,parameter_value,upper_limit,lower_limit,unit,semantic_type,review_status,source,confidence
2,2b13201ace424cdba65b268fc6bfdacb.pdf,35,A035,清洁度要求,≤7,7,,mg,quality_note,needs_manual_review,pdf_page_image,0.72
2,2b13201ace424cdba65b268fc6bfdacb.pdf,36,A036,磨削/抛光方向,磨削逆时针；抛光相反,,,,process_note,pending,pdf_page_image,0.86
2,2b13201ace424cdba65b268fc6bfdacb.pdf,37,A037,探伤要求,JB6729-2007,,,,inspection_note,pending,pdf_page_image,0.86
2,2b13201ace424cdba65b268fc6bfdacb.pdf,38,A038,材料及性能,38MnSiV5,,,,material,needs_manual_review,pdf_page_image,0.65
2,2b13201ace424cdba65b268fc6bfdacb.pdf,39,A039,磨削方向,Grinding,,,,process_note,pending,pdf_page_image,0.84
2,2b13201ace424cdba65b268fc6bfdacb.pdf,40,A040,抛光方向,polishing,,,,process_note,pending,pdf_page_image,0.84
2,2b13201ace424cdba65b268fc6bfdacb.pdf,41,A041,发动机旋转方向,rotate direction,,,,process_note,pending,pdf_page_image,0.82
2,2b13201ace424cdba65b268fc6bfdacb.pdf,42,A042,分组测量方法,3 sections; 30 points; average,,,,inspection_note,needs_manual_review,pdf_page_image,0.78
2,2b13201ace424cdba65b268fc6bfdacb.pdf,43,A043,分组标记范围,44.974~44.990,44.990,44.974,mm,inspection_note,needs_manual_review,pdf_page_image,0.7
2,2b13201ace424cdba65b268fc6bfdacb.pdf,44,A044,平衡块范围,"CW1,CW4,CW5,CW8",,,,process_note,pending,pdf_page_image,0.86
2,2b13201ace424cdba65b268fc6bfdacb.pdf,45,A045,平衡孔区域角度,55 max,55,,deg,dimension,pending,pdf_page_image,0.84
2,2b13201ace424cdba65b268fc6bfdacb.pdf,46,A046,平衡孔区域半径,R27.5 max,27.5,,mm,dimension,pending,pdf_page_image,0.82
2,2b13201ace424cdba65b268fc6bfdacb.pdf,47,A047,平衡孔最大尺寸,20 max,20,,mm,dimension,needs_manual_review,pdf_page_image,0.8
2,2b13201ace424cdba65b268fc6bfdacb.pdf,48,A048,P-P孔径,Φ11 max,11,,mm,dimension,pending,pdf_page_image,0.83
2,2b13201ace424cdba65b268fc6bfdacb.pdf,49,A049,去重孔加工要求,"CW1,CW4,CW5,CW8允许；≤3孔/块；深度≤20",3孔/块;20mm,,mm,process_note,pending,pdf_page_image,0.88
2,2b13201ace424cdba65b268fc6bfdacb.pdf,50,A050,曲轴平衡块编号,CW1-CW8,,,,datum,pending,pdf_page_image,0.85
